orphan_source_id,canonical_source_id,match_signal,orphan_url,orphan_name_at_seed,orphan_owner_at_seed,affected_record_id,remediation_timestamp
SRC-FIN-027,SRC-FIN-002,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,CFPB Consumer Response: Vehicle Loan Complaints 2025,CFPB,REC-FIN-0027,2026-05-25T04:43:24Z
SRC-FIN-028,SRC-FIN-002,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,CFPB Consumer Response: Personal Loan Complaints 2025,CFPB,REC-FIN-0028,2026-05-25T04:43:24Z
SRC-FIN-029,SRC-FIN-002,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,CFPB Consumer Response: Debt Settlement Complaints 2025,CFPB,REC-FIN-0029,2026-05-25T04:43:24Z
SRC-FIN-031,SRC-FIN-005,URL_EXACT,https://www.consumerfinance.gov/enforcement/enforcement-by-the-numbers/,CFPB Enforcement by the Numbers,CFPB,REC-FIN-0031,2026-05-25T04:43:24Z
SRC-FIN-032,SRC-FIN-002,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,CFPB Consumer Response Annual Report 2025,CFPB,REC-FIN-0032,2026-05-25T04:43:24Z
SRC-FIN-033,SRC-FIN-006,URL_EXACT,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,FTC Consumer Sentinel: Imposter Scam Data,FTC,REC-FIN-0033,2026-05-25T04:43:24Z
SRC-FIN-034,SRC-FIN-006,URL_EXACT,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,FTC Consumer Sentinel: Government Impersonation,FTC,REC-FIN-0034,2026-05-25T04:43:24Z
SRC-FIN-036,SRC-FIN-003,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_fcra-611e-report_2025-12.pdf,CFPB FCRA 611(e) Annual Report 2025,CFPB,REC-FIN-0036,2026-05-25T04:43:24Z
SRC-FIN-037,SRC-FIN-019,URL_EXACT,https://www.ftc.gov/system/files/ftc_gov/pdf/P144400-OlderAdultsReportDec2025.pdf,FTC Protecting Older Consumers Report,FTC,REC-FIN-0037,2026-05-25T04:43:24Z
SRC-FIN-039,SRC-FIN-013,URL_EXACT,https://www.gao.gov/assets/gao-26-108248.pdf,CFPB FY 2025 Civil Penalties $175.7M,GAO,REC-FIN-0039,2026-05-25T04:43:24Z
SRC-FIN-041,SRC-FIN-006,URL_EXACT,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,FTC Consumer Sentinel: Social Media Fraud Losses,FTC,REC-FIN-0041,2026-05-25T04:43:24Z
SRC-FIN-042,SRC-FIN-006,URL_EXACT,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,FTC Consumer Sentinel: Payment Method Fraud,FTC,REC-FIN-0042,2026-05-25T04:43:24Z
SRC-FIN-043,SRC-FIN-006,URL_EXACT,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,FTC Consumer Sentinel: Romance Scam Losses,FTC,REC-FIN-0043,2026-05-25T04:43:24Z
SRC-FIN-046,SRC-FIN-002,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,CFPB 2025 Debt Collection Complaints,CFPB,REC-FIN-0046,2026-05-25T04:43:24Z
SRC-FIN-048,SRC-FIN-003,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_fcra-611e-report_2025-12.pdf,CFPB FCRA Report: TransUnion Dispute Confirmation,CFPB,REC-FIN-0048,2026-05-25T04:43:24Z
SRC-FIN-049,SRC-FIN-002,URL_EXACT,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,CFPB Servicemember Complaints 2025,CFPB,REC-FIN-0049,2026-05-25T04:43:24Z
SRC-FIN-051,SRC-FIN-006,URL_EXACT,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,FTC/Javelin Identity Theft Demographics,FTC/Javelin,REC-FIN-0051,2026-05-25T04:43:24Z
